,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F006932,"Pork, forequarter shoulder roast, lean, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase. Barbequed as purchased, for 75 minutes with no added fat. All possible internal and external separable fat removed after cooking.",658,24.8,6.4,2.45,0,0,76
F006929,"Pork, forequarter shoulder roast, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat.",762,17.6,12.5,4.76,0,0,69
F006927,"Pork, forequarter shoulder roast, untrimmed, BBQ'd, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external separable fat. Barbequed as purchased, for 75 minutes with no added fat.",901,22.6,14,5.32,0,0,78
F006953,"Pork, leg roast, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased without the removal of internal and external separable fat.",685,21.6,8.6,3.05,0,0,48
F006951,"Pork, leg roast, untrimmed, baked, no added fat",Cooked pork from the hind portion of the carcase. Oven baked at 180 degrees celsius to an  internal temperature of 75 degrees celsius with no added fat.,926,31.2,10.7,3.76,0,0,54
F007035,"Pork, loin roast, separable fat, raw",Raw internal and external separable fat from the midsection of the carcase.,"2,941",5.2,77.1,29.02,0,0,27
F007034,"Pork, loin roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the midsection of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 75 degrees celsius, then dissected.","2,629",8.8,67,25.22,0,0,40
F007037,"Pork, loin roast, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed.",478,23.3,2.2,0.75,0,0,52
F007036,"Pork, loin roast, lean, baked, no added fat",Cooked pork from the midsection of the carcase. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking.,860,31.9,8.6,2.93,0,0,57
F007030,"Pork, loin roast, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat.",943,19.9,16.4,6.1,0,0,47
F007029,"Pork, loin roast, untrimmed, baked, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat","1,093",28.8,16.3,5.87,0,0,55
F007074,"Pork, round mini roast, separable fat, raw",Raw internal and external fat from the hind portion of the carcase.,"1,842",11.3,44.6,16.02,0,0,38
F007073,"Pork, round mini roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the hind portion of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 75 degrees celsius, then dissected.","1,961",16.3,45.5,16.35,0,0,54
F007077,"Pork, round mini roast, lean, raw","Raw lean muscle meat from the hind portion of the carcase, with all possible internal and external separable fat removed.",444,23.7,1.1,0.35,0,0,50
F007076,"Pork, round mini roast, lean, baked, no added fat",Cooked pork from the hind portion of the carcase. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking.,682,34.7,2.5,0.79,0,0,54
F007092,"Pork, scotch roast, separable fat, raw",Raw internal and external separable fat from the forequarter of the carcase.,"2,124",10.7,52.5,22.16,0,0,30
F007091,"Pork, scotch roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the forequarter of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 70 degrees celsius, then dissected.","2,076",12.2,50.5,21.32,0,0,41
F007094,"Pork, scotch roast, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed.",631,20.6,7.6,2.68,0,0,49
F007093,"Pork, scotch roast, lean, baked, no added fat","Cooked pork from the forequarter of the carcase. Oven roasted, as purchased, at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking.",964,30.6,12,4.23,0,0,57
F007089,"Pork, scotch roast, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat.",893,18.9,15.4,6.09,0,0,46
F007087,"Pork, scotch roast, untrimmed, baked, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external separable fat. Oven roasted at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat.","1,024",29.6,14.1,5.15,0,0,56
F007117,"Pork, spare ribs, untrimmed, raw","Raw pork from the rib, as purchased without removal of internal and external fat.","1,198",18.1,24,9.42,0,0,43
F007113,"Pork, spare ribs, untrimmed, baked, no added fat","Pork from the rib, as purchased without removal of internal and external fat. Baked with no added fat.","1,663",27.4,32.4,12.68,0,0,54
F002769,"Chicken, separable fat, composite, raw",Fat able to be separated from the flesh and skin prior to cooking.,"2,392",5.1,62.3,18.96,0,0,22
F002767,"Chicken, separable fat, composite, baked or roasted, no added fat",Fat able to be separated from the flesh and skin of chicken after baking or roasting.,"1,891",9.8,46.6,14.71,0,0,51
F002768,"Chicken, separable fat, composite, cooked, no added fat","Fat from a fresh chicken, cooked in a casserole dish with added water.","2,899",6.2,75.5,22.98,0,0,19
F002773,"Chicken, skin, composite, raw",Raw skin separated from the flesh of chicken prior to cooking.,"1,515",12.7,35.1,10.75,0,0,43
F002771,"Chicken, skin, composite, baked, no added fat","Baked skin, separated from the flesh of chicken after baking.","1,818",22.3,38.9,11.84,0,0,78
F002772,"Chicken, skin, composite, casseroled, no added fat","Skin of chicken, cooked in a casserole dish with added water.","1,742",18,38.8,11.44,0,0,51
F002568,"Chicken, barbecued, with skin","Whole chicken with skin, cooked in a commercial rotisserie oven. Chicken is generally rubbed with oil, spices and salt. Does not include stuffing.",806,27.5,8.9,2.47,0,0,430
F002594,"Chicken, breast, lean flesh, raw","Raw flesh from breast portion of the chicken, with the skin and fat removed.",412,22.5,0.8,0.25,0,0,48
F002590,"Chicken, breast, lean flesh, baked, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Baked with no added fat.",637,29,3.9,1.25,0,0,46
F002593,"Chicken, breast, lean flesh, grilled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Grilled with no added fat.",598,29.8,2.5,0.82,0,0,43
F002592,"Chicken, breast, lean flesh, fried, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Cut into thin strips and fried with no added fat.",663,34.5,1.8,0.55,0.7,0.7,55
F002591,"Chicken, breast, lean flesh, casseroled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",596,27,3.7,1.2,0,0,41
F002597,"Chicken, breast, lean flesh, skin & fat, raw","Raw flesh, skin and fat from breast portion of a chicken.",666,20.2,8.7,2.66,0,0,46
F002595,"Chicken, breast, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the breast portion of a chicken. Baked with no added fat.",808,27.8,9.1,2.82,0,0,48
F002647,"Chicken, drumstick, lean flesh, raw","Uncooked flesh from drumstick portion of a chicken, with the skin and fat removed.",492,18.5,4.8,1.4,0,0,71
F002645,"Chicken, drumstick, lean flesh, baked, no added fat","Flesh from drumstick portion of a chicken, with the skin and fat removed. Baked with no added fat.",830,29.9,8.5,2.54,0.4,0.4,120
F002646,"Chicken, drumstick, lean flesh, casseroled, no added fat","Flesh from drumstick portion of a chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",730,28.6,6.6,2.15,0,0,74
F002650,"Chicken, drumstick, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the drumstick portion of a chicken.",645,17.6,9.3,2.8,0,0,67
F002648,"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from drumstick portion of a chicken. Baked with no added fat.",994,28.5,13.6,4.09,0.3,0.3,113
F002649,"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from drumstick portion of a chicken. Casseroled with added water then drained, no added fat.",889,26.9,11.6,3.62,0,0,70
F002739,"Chicken, mince, raw",Raw chicken mince likely to be from the breast and thigh portion of a chicken.,404,21.4,1.1,0.31,0,0,49
F009831,"Chicken, mince, fried, no added fat",Chicken mince likely to be from the breast and thigh portion of a chicken. Fried with no added fat.,532,28.1,1.4,0.41,0,0,52
F002806,"Chicken, thigh, lean flesh, raw","Uncooked flesh from the thigh portion of a chicken, with skin and fat removed.",436,19.1,3,0.86,0,0,64
F002804,"Chicken, thigh, lean flesh, baked, no added fat","Flesh from thigh portion of a chicken, with skin and fat removed. Baked with no added fat.",733,24.2,8.7,2.69,0,0,76
F002805,"Chicken, thigh, lean flesh, casseroled, no added fat","Flesh from thigh portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",810,26.3,9.8,3.05,0,0,62
F009806,"Chicken, thigh, lean flesh, fried, no added fat","Flesh from the thigh portion of a chicken, with skin and fat removed. Fried with no added fat.",662,27.6,5.2,1.7,0,0,84
F002809,"Chicken, thigh, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the thigh portion of a chicken.",898,16,16.9,5.12,0,0,54
F002807,"Chicken, thigh, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the thigh portion of a chicken. Baked with no added fat.",987,23.1,16.1,4.93,0,0,74
F002808,"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from the thigh portion of a chicken. Casseroled with added water, then drained, no added fat.","1,044",24.1,17.1,5.2,0,0,58
F002849,"Chicken, wing, lean flesh, raw","Uncooked flesh from wing portion of a chicken, with skin and fat removed.",470,18.7,4.1,1.24,0,0,66
F002847,"Chicken, wing, lean flesh, baked, no added fat","Flesh from wing portion of a chicken, with skin and fat removed. Baked with no added fat.",810,30.9,7.7,2.35,0,0,84
F002848,"Chicken, wing, lean flesh, casseroled, no added fat","Flesh from wing portion of a chicken, with skin and fat removed. Casseroled with added water, then drained, no added fat.",800,27.9,8.8,2.74,0,0,70
F002852,"Chicken, wing, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the wing portion of a chicken.",917,16.1,17.4,5.32,0,0,56
F002850,"Chicken, wing, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the wing portion of a chicken. Baked with no added fat.","1,116",28.2,17.2,5.24,0,0,81
F002851,"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from the wing portion of a chicken. Casseroled with added water, then drained, no added fat.","1,085",24.9,17.9,5.39,0,0,64
F009307,"Turkey, breast, lean flesh, raw","Uncooked flesh from the breast portion of a turkey, with skin and fat removed.",490,21.6,3.3,0.89,0,0,240
F009306,"Turkey, breast, lean flesh, baked, no added fat","Flesh from the breast portion of a turkey, with skin and fat removed. Baked with no added fat.",648,29.4,4,1.08,0,0,210
F009309,"Turkey, breast, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the breast portion of a turkey.",663,20.4,8.5,2.39,0,0,217
F009308,"Turkey, breast, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the breast portion of a turkey. Baked with no added fat.",809,27.7,9.2,2.56,0,0,199
F009320,"Turkey, hindquarter, lean flesh, raw","Uncooked flesh from the hindquarter (thigh and drumstick) portion of a turkey, with skin and fat removed.",510,18.4,5.3,1.82,0,0,260
F009319,"Turkey, hindquarter, lean flesh, baked, no added fat","Flesh from the hindquarter (thigh and drumstick) portion of a turkey, with skin and fat removed. Baked with no added fat.",714,26.8,7,2.41,0,0,170
F009322,"Turkey, hindquarter, lean flesh, skin & fat, raw","Uncooked flesh, skin and fat from the hindquarter (thigh and drumstick) portion of a turkey.",782,18.6,12.6,4.3,0,0,237
